# 1: Bin number
# 2: r
# 3: g(r)
0	0.006	0
1	0.018	0
2	0.03	0
3	0.042	0
4	0.054	0
5	0.066	0
6	0.078	0
7	0.09	0
8	0.102	0
9	0.114	0
10	0.126	0
11	0.138	0
12	0.15	0
13	0.162	0
14	0.174	0
15	0.186	0
16	0.198	0
17	0.21	0
18	0.222	0
19	0.234	0
20	0.246	0
21	0.258	0
22	0.27	0
23	0.282	0
24	0.294	0
25	0.306	0
26	0.318	0
27	0.33	0
28	0.342	0
29	0.354	0
30	0.366	0
31	0.378	0
32	0.39	0
33	0.402	0
34	0.414	0
35	0.426	0
36	0.438	0
37	0.45	0
38	0.462	0
39	0.474	0
40	0.486	0
41	0.498	0
42	0.51	0
43	0.522	0
44	0.534	0
45	0.546	0
46	0.558	0
47	0.57	0
48	0.582	0
49	0.594	0
50	0.606	0
51	0.618	0
52	0.63	0
53	0.642	0
54	0.654	0
55	0.666	0
56	0.678	0
57	0.69	0
58	0.702	0
59	0.714	0
60	0.726	0
61	0.738	0
62	0.75	0
63	0.762	0
64	0.774	0
65	0.786	0
66	0.798	0
67	0.81	0
68	0.822	0
69	0.834	0
70	0.846	0
71	0.858	0
72	0.87	0
73	0.882	0
74	0.894	0
75	0.906	0
76	0.918	0
77	0.93	0
78	0.942	0
79	0.954	0
80	0.966	0
81	0.978	0
82	0.99	0
83	1.002	0
84	1.014	0
85	1.026	0
86	1.038	0
87	1.05	0
88	1.062	0
89	1.074	0
90	1.086	0
91	1.098	0
92	1.11	0
93	1.122	0
94	1.134	0
95	1.146	0
96	1.158	0
97	1.17	0
98	1.182	0
99	1.194	0
100	1.206	0
101	1.218	0
102	1.23	0
103	1.242	0
104	1.254	0
105	1.266	0
106	1.278	0
107	1.29	0
108	1.302	0
109	1.314	0
110	1.326	0
111	1.338	0
112	1.35	0
113	1.362	0
114	1.374	0
115	1.386	0
116	1.398	0
117	1.41	0
118	1.422	0
119	1.434	0
120	1.446	0
121	1.458	0
122	1.47	0
123	1.482	0
124	1.494	0
125	1.506	0
126	1.518	0
127	1.53	0
128	1.542	0
129	1.554	0
130	1.566	0
131	1.578	0
132	1.59	0
133	1.602	0
134	1.614	0
135	1.626	0
136	1.638	0
137	1.65	0
138	1.662	0
139	1.674	0
140	1.686	0
141	1.698	0
142	1.71	0
143	1.722	0
